name,bio,birth_year,death_year,nationality,art_movement,followers_count,exhibitions_count,category,source_url
Heejo Kim,,,,,,0,0,,https://www.artsy.net/artist/heejo-kim-1
Domenico Ruccia,,,,,,0,0,,https://www.artsy.net/artist/domenico-ruccia
Heejo Kim,,,,,,0,0,,https://www.artsy.net/artist/heejo-kim-1
Domenico Ruccia,,,,,,0,0,,https://www.artsy.net/artist/domenico-ruccia
Heejo Kim,,,,,,0,0,,https://www.artsy.net/artist/heejo-kim-1
Domenico Ruccia,,,,,,0,0,,https://www.artsy.net/artist/domenico-ruccia
Tania Franco Klein,,,,,chiaroscuro,0,0,,https://www.artsy.net/artist/tania-franco-klein
Bruna Massadas,,,,,,0,0,,https://www.artsy.net/artist/bruna-massadas
Cy Twombly,,,,,,0,0,,https://www.artsy.net/artist/cy-twombly
Helen Frankenthaler,,,,,Abstract Expressionists,0,0,,https://www.artsy.net/artist/helen-frankenthaler
Theodoros Stamos,,,,,biomorphic,0,0,,https://www.artsy.net/artist/theodoros-stamos
Natvar Bhavsar,,,,,,0,0,,https://www.artsy.net/artist/natvar-bhavsar
Roger Raveel,,,,,,0,0,,https://www.artsy.net/artist/roger-raveel
Nelson Leirner,,,,,,0,0,,https://www.artsy.net/artist/nelson-leirner
Richard Hamilton,,,,,Pop art,0,0,,https://www.artsy.net/artist/richard-hamilton
Claes Oldenburg,,,,,Conceptual,0,0,,https://www.artsy.net/artist/claes-oldenburg
Craig Kauffman,,,,,,0,0,,https://www.artsy.net/artist/craig-kauffman
Billy Al Bengston,,,,,,0,0,,https://www.artsy.net/artist/billy-al-bengston
Lita Albuquerque,,,,,Light and Space,0,0,,https://www.artsy.net/artist/lita-albuquerque
Judy Chicago,,1939.0,,,feminist art,0,0,,https://www.artsy.net/artist/judy-chicago
